dcode,dname,num_win,num_rider
1033,คลองเตย,184,2768
1018,คลองสาน,92,989
1046,คลองสามวา,95,862
1043,คันนายาว,53,1062
1030,จตุจักร,221,3696
1035,จอมทอง,71,2200
1036,ดอนเมือง,179,1984
1026,ดินแดง,173,3170
1002,ดุสิต,184,1674
1019,ตลิ่งชัน,75,1055
1048,ทวีวัฒนา,41,434
1049,ทุ่งครุ,75,1318
1015,ธนบุรี,109,1889
1020,บางกอกน้อย,50,919
1016,บางกอกใหญ่,133,3321
1006,บางกะปิ,111,1848
1021,บางขุนเทียน,108,3007
1005,บางเขน,104,2346
1031,บางคอแหลม,103,1585
1040,บางแค,147,2112
1029,บางซื่อ,153,1644
1047,บางนา,125,2653
1050,บางบอน,110,1353
1025,บางพลัด,93,2072
1004,บางรัก,197,1055
1027,บึงกุ่ม,60,1283
1007,ปทุมวัน,140,363
1032,ประเวศ,136,2235
1008,ป้อมปราบศัตรูพ่าย,68,480
1014,พญาไท,159,1720
1009,พระนคร,148,794
1001,พระโขนง,44,1214
1022,ภาษีเจริญ,119,1609
1010,มีนบุรี,125,1786
1012,ยานนาวา,123,2292
1037,ราชเทวี,219,2627
1024,ราษฏร์บูรณะ,49,1629
1011,ลาดกระบัง,194,2354
1038,ลาดพร้าว,57,940
1045,วังทองหลาง,59,2774
1039,วัฒนา,173,2953
1034,สวนหลวง,100,1732
1044,สะพานสูง,99,1983
1013,สัมพันธวงศ์,165,1904
1028,สาทร,28,596
1042,สายไหม,31,263
1023,หนองแขม,87,692
1003,หนองจอก,125,1546
1041,หลักสี่,114,1974
1017,ห้วยขวาง,192,2420
